,1,2,3,4,5,6,7,8,9,10,11,12
Coastal NPP,171.58605131161883,249.03371582672006,346.77008978760193,470.9779283556065,732.079150018443,889.0298458623679,886.811811698038,912.8919298589695,793.1233358221002,542.9589894921188,313.3427677814071,290.22675187834415
Non-Coastal NPP,178.12793306081193,234.76742616433987,298.6024119075794,409.66567115778133,631.2781849256428,698.3905888106237,630.6563473597049,608.7359113140211,589.1490767404607,501.20922169462347,299.1263247473798,203.08642622510325
